Title,Year,Rating
Les Évadés,1994,"9,3"
Le Parrain,1972,"9,2"
The Dark Knight : Le Chevalier noir,2008,"9,1"
"Le Parrain, 2ᵉ partie",1974,"9,0"
12 Hommes en colère,1957,"9,0"
Le Seigneur des anneaux : Le Retour du roi,2003,"9,0"
La Liste de Schindler,1993,"9,0"
Le Seigneur des anneaux : La Communauté de l'anneau,2001,"8,9"
Pulp Fiction,1994,"8,8"
"Le Bon, la Brute et le Truand",1966,"8,8"
Le Seigneur des anneaux : Les Deux Tours,2002,"8,8"
Forrest Gump,1994,"8,8"
Fight Club,1999,"8,8"
Inception,2010,"8,8"
L'Empire contre-attaque,1980,"8,7"
Matrix,1999,"8,7"
Les Affranchis,1990,"8,7"
Interstellar,2014,"8,7"
Vol au-dessus d'un nid de coucou,1975,"8,6"
Seven,1995,"8,6"
La vie est belle,1946,"8,6"
Le silence des agneaux,1991,"8,6"
Les 7 Samouraïs,1954,"8,6"
Il faut sauver le soldat Ryan,1998,"8,6"
La Ligne verte,1999,"8,6"
La cité de Dieu,2002,"8,6"
La vie est belle,1997,"8,6"
Terminator 2 : Le Jugement dernier,1991,"8,6"
La Guerre des étoiles,1977,"8,6"
Retour vers le futur,1985,"8,5"
Le Voyage de Chihiro,2001,"8,6"
Le Pianiste,2002,"8,5"
Gladiator,2000,"8,5"
Parasite,2019,"8,5"
Le Tombeau des lucioles,1988,"8,5"
Psychose,1960,"8,5"
Le Roi lion,1994,"8,5"
Harakiri,1962,"8,6"
Les Infiltrés,2006,"8,5"
Whiplash,2014,"8,5"
Kill Bill: The Whole Bloody Affair,2004,"8,8"
Le Prestige,2006,"8,5"
American History X,1998,"8,5"
Léon,1994,"8,5"
Spider-Man: Across the Spider-Verse,2023,"8,5"
Cinéma Paradiso,1988,"8,5"
Casablanca,1942,"8,5"
Intouchables,2011,"8,5"
Usual Suspects,1995,"8,5"
"Alien, le 8ème passager",1979,"8,5"
Django Unchained,2012,"8,5"
Les Temps modernes,1936,"8,5"
Fenêtre sur cour,1954,"8,5"
Il était une fois dans l'Ouest,1968,"8,5"
Les Lumières de la ville,1931,"8,5"
Apocalypse Now,1979,"8,4"
WALL·E,2008,"8,4"
Memento,2000,"8,4"
Dune : Deuxième Partie,2024,"8,4"
Les Aventuriers de l'arche perdue,1981,"8,4"
Avengers: Infinity War,2018,"8,4"
La Vie des autres,2006,"8,4"
Spider-Man: New Generation,2018,"8,4"
Boulevard du Crépuscule,1950,"8,4"
Témoin à charge,1957,"8,4"
Les Sentiers de la gloire,1957,"8,4"
Shining,1980,"8,4"
Le dictateur,1940,"8,4"
Inglourious Basterds,2009,"8,4"
12th Fail,2023,"8,7"
"Aliens, le retour",1986,"8,4"
Entre le ciel et l'enfer,1963,"8,4"
Will Hunting,1997,"8,4"
Avengers: Endgame,2019,"8,4"
The Dark Knight Rises,2012,"8,4"
